persona_id,brand,part_role,part_id,brand_tone_cluster,score
persona_5,에뛰드,identity,Part 1,0,0.1840880446135998
persona_4,에뛰드,identity,Part 1,0,0.18403675854206086
persona_4,AP,identity,Part 2,9,0.18380168043076994
persona_2,설화수,identity,Part 1,2,0.1837319817394018
persona_4,한율,emotion,Part 2,9,0.18366808749735355
persona_2,한율,emotion,Part 2,9,0.1836339657008648
persona_5,에뛰드,identity,Part 3,0,0.18358835130929946
persona_5,한율,emotion,Part 1,9,0.18357712633907797
persona_3,코스알엑스,emotion,Part 2,2,0.18346544399857523
persona_5,에스쁘아,identity,Part 2,0,0.18344860188663004
persona_3,AP,identity,Part 2,9,0.18344793152064087
persona_7,AP,identity,Part 2,9,0.18339534997940066
persona_5,AP,identity,Part 2,9,0.18331395722925664
persona_6,이니스프리,benefit,Part 1,0,0.18313970681279895
persona_6,해피바스,cta,Part 2,9,0.18310925394296648
persona_1,아이오페,identity,Part 2,0,0.1830436311662197
persona_1,아윤채,identity,Part 2,0,0.18297623116523026
persona_6,아윤채,identity,Part 2,0,0.18281908202916386
persona_5,아이오페,proof,Part 1,0,0.18281639190763235
persona_5,코스알엑스,emotion,Part 2,2,0.18276318645104767
persona_8,아이오페,identity,Part 2,0,0.18275181427597997
persona_2,에뛰드,identity,Part 1,0,0.18260765001177787
persona_1,에뛰드,identity,Part 1,0,0.18258794024586678
persona_4,아윤채,identity,Part 2,0,0.1825873853638768
persona_3,에뛰드,identity,Part 3,0,0.1823911152780056
persona_3,설화수,proof,Part 2,2,0.18232422368973494
persona_4,아이오페,proof,Part 1,0,0.1822876432016492
persona_4,려,benefit,Part 3,2,0.18228436172008516
persona_1,려,benefit,Part 3,2,0.18206066623330114
persona_2,아이오페,identity,Part 2,0,0.18205608427524567
persona_6,AP,identity,Part 2,9,0.18186194300651548
persona_7,려,benefit,Part 3,2,0.18169988378882407
persona_4,에뛰드,identity,Part 2,0,0.18147750124335288
persona_8,아이오페,proof,Part 1,0,0.18141223872452975
persona_3,오딧세이,identity,Part 2,9,0.18140521720051767
persona_8,이니스프리,benefit,Part 1,0,0.18138949912041424
persona_7,아윤채,identity,Part 2,0,0.18134223073720934
persona_4,홀리추얼,emotion,Part 1,0,0.18120761800557375
persona_8,해피바스,cta,Part 2,9,0.18120496414601803
persona_3,한율,emotion,Part 2,9,0.18119943521916868
persona_3,이니스프리,benefit,Part 1,0,0.18110168151557443
persona_2,아윤채,identity,Part 2,0,0.1810087002813816
persona_3,메이크온,identity,Part 2,1,0.18098324388265608
persona_1,설화수,identity,Part 3,2,0.18091608285903932
persona_7,라네즈,proof,Part 3,1,0.18076622942835094
persona_6,에뛰드,identity,Part 2,0,0.18076053112745283
persona_1,마몽드,identity,Part 1,0,0.18074380382895472
persona_1,메이크온,identity,Part 2,1,0.18073668889701366
persona_4,해피바스,cta,Part 2,9,0.1807291315123439
persona_1,설화수,proof,Part 2,2,0.18067515483498575
persona_6,려,identity,Part 2,2,0.18065924793481825
persona_3,라네즈,proof,Part 3,1,0.1806201527863741
persona_3,려,benefit,Part 3,2,0.18060218602418898
persona_1,해피바스,emotion,Part 1,9,0.18047365944832564
persona_3,아윤채,identity,Part 2,0,0.1804449498653412
