ingredient_id,ingredient_name
539,다이소듐코코일글루타메이트
540,다이소듐포스페이트
541,다이스테아?┤┘이모늄헥토라이트
542,다이스테아다이모늄헥토라이트
543,다이실록세인
544,다이아몬드가루
545,다이아이소스테아로일폴리글리세릴-3다이머다이리놀리에이트
546,다이아이소스테아릴말레이트
547,다이아이소프로필세바케이트
548,다이에톡시에틸석시네이트
549,다이에틸헥실2
550,다이에틸헥실석시네이트
551,다이에틸헥실소듐설포석시네이트
552,다이올레오일에틸하이드록시에틸모늄메토설페이트
553,다이카프릴릴에터
554,다이카프릴릴카보네이트
555,다이칼슘포스페이트
556,다이팔미토일에틸하이드록시에틸모늄메토설페이트
557,다이팔미토일하이드록시프로린
558,다이팔미토일하이드록시프롤린
559,다이페닐다이메 티콘
560,다이페닐다이메티콘
561,다이페닐다이메티콘/비닐다이페닐다이메티콘/실세스퀴옥세인크로스폴리머
562,다이페닐실록시페닐트라이메티콘
563,다이펜타에리스리틸펜타아이소스테아레이트
564,다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트
565,다이펩타이드-2
566,다이포타슘 글리시리제이트
567,다이포타슘글리시리제이트
568,다이포타슘포스페이트
569,다이프로필렌 글라이콜
570,다이프로필렌글라이콜
571,다추추출물
572,단백질 10g(18%)
573,단백질 14g(25%)
574,단백질 19g(35%)
575,단백질 1g 2% *1일 영양성분 기준치에 대한 비율(%)은 2
576,단백질 5g(9%)
577,단백질 6.6g(12%)
578,단백질 7g(13%)
579,단백질 7g(13%) [세작] 해당사항없음 [피치 파파야 블랙티] 해당사항없음 [시그니처 얼그레이] 해당사항없음 [삼다연 제주영귤] 해당사항없음
580,단백질 : 8g (15%)
581,단백질0g(0%)
582,단향오일
583,달맞이꽃오일
584,달맞이꽃추출물
585,달팽이점액여 과물
586,닭고기
587,당근씨오일
588,당근추출물
589,당느릅나무 뿌리추출물
590,당느릅나무뿌리추출물
591,당류 0g(0%)
592,당류 13g 13%
593,당류 17g(17%)
594,당류 19g(19%)
595,당류 24g(24%)
596,당류 25g(25%)
597,당류 30g(30%)
598,당류 43g(43%)
599,당류 48g(48%)
600,당류 9g 9%
601,당류 : 51g (51%)
602,당류가공품
603,당알코올 함유 제품으로 과량 섭취 시 설사를 일으킬 수 있습니다.
604,당잔대뿌리추출물
605,대두
606,대두레시틴
607,대두레시틴(고시형)
608,대두레시틴(인도산)
609,대두유(외국산: 아르헨티나
610,대왕소나무잎추출물
611,대왕송오일
612,대왕송잎추출물
613,대추추출물
614,더 보기
615,덩굴월귤씨오일
616,데실글 루코사이드
617,데실글루코사이드
618,데실코코에이트
619,데카펩타이드-4
620,데하이드로아세틱애씨드
621,덱스트린
622,덱스트린)
623,덱스트린}
624,덱스트린팔미테이트
625,덱스트린팔미테이트/에틸헥사노에이트
626,덴탈타입실리카
627,도데센
628,도둑놈의지팡이뿌리추출물
629,돌외잎/줄기추출물
630,돌콩스테롤
631,돌콩싹추출물
632,돌콩오일
633,돌콩지질
634,돌콩추출물
635,동백나무꽃추출물
636,동백나무꽃추출물(98ppm)
637,동백나무씨오일
638,동백나무씨오일(10ppm)
639,동백나무씨오일(2000ppm)
640,동백나무씨추출물
641,동백나무잎추출물
642,돼지고기
643,돼지고기 함유
644,두송열매오일
645,둥굴레뿌리줄기가루
646,둥굴레뿌리줄기추출물
647,드럼스틱 씨추출물
648,드럼스틱씨추출물
649,드로메트리졸트리실록산
650,들깨추출물
651,등색205호
652,디메치콘
653,디메치콘/비닐디메치콘크로스폴리머
654,디메치콘올
655,디소듐이디티에이
656,디소듐코코일글루타메이트
657,디스테아릴디모늄클로라이드
658,디에칠아미노하이드록시벤 조일헥실벤조에이트
659,디에칠아미노하이드록시벤조일헥실벤조 에이트
660,디에칠아미노하이드록시벤조일헥실벤조에이트
661,디에칠헥실부타미도트리아존
662,디에톡시에칠석시네이트
663,디엔에이
664,디카프릴릴에텔
665,디포타슘포스페이트
666,디프로필렌글라이콜
667,딸기향분말
668,땅콩
